table_index,row_index,scraped_at,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,time,player1,player2,score,tournament,round,source_url,source_page
0,26,2025-08-25 14:58:54,19:20,Galan D.,0,4,4,4,,,,,19:20,Galan D.,,,,,https://www.tennisexplorer.com/results/,results
0,27,2025-08-25 14:58:54,19:40,Comesana F.,3,1,6,6,6,,1.87,1.93,19:40,Comesana F.,,,,,https://www.tennisexplorer.com/results/,results
0,28,2025-08-25 14:58:54,19:40,Michelsen A.(28),1,6,3,4,4,,,,19:40,,,,,,https://www.tennisexplorer.com/results/,results
0,29,2025-08-25 14:58:54,Como challenger,S,1,2,3,4,5,H,A,,,Como challenger,,,,,https://www.tennisexplorer.com/results/,results
0,30,2025-08-25 14:58:54,14:00,Caniato C.,2,4,6,6,,,1.55,2.33,14:00,Caniato C.,,,,,https://www.tennisexplorer.com/results/,results
0,31,2025-08-25 14:58:54,14:00,Rodriguez Taverna S.(5),1,6,3,1,,,,,14:00,,,,,,https://www.tennisexplorer.com/results/,results
0,32,2025-08-25 14:58:54,14:35,Martin A.,2,6,6,,,,1.55,2.33,14:35,Martin A.,,,,,https://www.tennisexplorer.com/results/,results
0,33,2025-08-25 14:58:54,14:35,Jianu F.,0,4,3,,,,,,14:35,Jianu F.,,,,,https://www.tennisexplorer.com/results/,results
0,34,2025-08-25 14:58:54,15:00,Bueno G.(4),2,3,6,6,,,2.62,1.44,15:00,,,,,,https://www.tennisexplorer.com/results/,results
0,35,2025-08-25 14:58:54,15:00,Diaz Acosta F.,1,6,3,4,,,,,15:00,Diaz Acosta F.,,,,,https://www.tennisexplorer.com/results/,results
0,36,2025-08-25 14:58:54,16:15,Ajdukovic D.,2,6,7,,,,2.62,1.44,16:15,Ajdukovic D.,,,,,https://www.tennisexplorer.com/results/,results
0,37,2025-08-25 14:58:54,16:15,Gakhov I.(8),0,1,65,,,,,,16:15,,,,,,https://www.tennisexplorer.com/results/,results
0,38,2025-08-25 14:58:54,16:20,Torres J.,2,4,6,6,,,1.74,2.01,16:20,Torres J.,,,,,https://www.tennisexplorer.com/results/,results
0,39,2025-08-25 14:58:54,16:20,Martin Tiffon P.,1,6,3,3,,,,,16:20,Martin Tiffon P.,,,,,https://www.tennisexplorer.com/results/,results
0,40,2025-08-25 14:58:54,Porto 2 challenger,S,1,2,3,4,5,H,1.74,2.01,,,,,,,https://www.tennisexplorer.com/results/,results
